Atividade_por_semana,Altura,Peso,Time
4,173,85,Fluminense
0,170,70,Flamengo
2,183,85,
4,176,70,Sao Paulo
9,178,73,Palmeiras
0,180,90,Sao Paulo
0,183,65,Corinthians
0,186,97,Corinthians
1,165,65,Corinthians
0,160,55,Cruzeiro
6,175,63,
0,167,70,Vitoria
0,183,83,Palmeiras
1,190,85,Palmeiras
0,174,80,Corinthians
2,183,85,Sao Paulo
2,162,67,Santos
0,186,86,
3,174,83,Corinthians
0,172,92,Corinthians
3,190,115,
3,180,85,
2,178,95,Sao Paulo
5,182,74,Corinthians
5,160,61,
0,171,97,Corinthians
3,188,93,Sao Paulo
11,180,83,
0,170,77,Corinthians
0,173,100,XV Piracicaba
4,167,80,Corinthians
0,170,75,Sao Paulo
0,180,120,
0,185,68,
0,167,80,ABC
2,170,102,Corinthians
