Equipe,PTS,J,V,E,D,GP,GC,SG,UF
RJ Flamengo,27.0,12.0,8.0,3.0,1.0,21.0,7.0,14.0,RJ
MG Atlético,23.0,12.0,7.0,2.0,3.0,24.0,17.0,7.0,MG
SP São Paulo,23.0,12.0,6.0,5.0,1.0,18.0,11.0,7.0,SP
RS Internacional,22.0,12.0,6.0,4.0,2.0,15.0,8.0,7.0,RS
RS Grêmio,20.0,12.0,5.0,5.0,2.0,11.0,5.0,6.0,RS
SP Palmeiras,19.0,12.0,5.0,4.0,3.0,18.0,11.0,7.0,SP
PE Sport,19.0,12.0,5.0,4.0,3.0,15.0,15.0,0.0,PE
MG Cruzeiro,18.0,12.0,5.0,3.0,4.0,8.0,7.0,1.0,MG
RJ Botafogo,17.0,12.0,4.0,5.0,3.0,16.0,14.0,2.0,RJ
SP Corinthians,16.0,12.0,4.0,4.0,4.0,12.0,9.0,3.0,SP
RJ Vasco da Gama,15.0,11.0,4.0,3.0,4.0,17.0,18.0,-1.0,RJ
RJ Fluminense,14.0,12.0,4.0,2.0,6.0,14.0,17.0,-3.0,RJ
MG América,14.0,12.0,4.0,2.0,6.0,14.0,18.0,-4.0,MG
SC Chapecoense,14.0,12.0,3.0,5.0,4.0,14.0,19.0,-5.0,SC
SP Santos,13.0,11.0,4.0,1.0,6.0,14.0,16.0,-2.0,SP
BA Vitória,12.0,12.0,3.0,3.0,6.0,16.0,23.0,-7.0,BA
BA Bahia,12.0,12.0,3.0,3.0,6.0,10.0,17.0,-7.0,BA
PR Paraná,10.0,12.0,2.0,4.0,6.0,7.0,16.0,-9.0,PR
PR Atlético,9.0,12.0,2.0,3.0,7.0,10.0,15.0,-5.0,PR
CE Ceará,5.0,12.0,0.0,5.0,7.0,7.0,18.0,-11.0,CE
